Poll,Date,Sample,MoE,Dean (D),Black (R),Spread
EmersonEmerson,7/11 - 7/14,657 LV,4.1,39,35,Dean +4
GravisGravis,12/11 - 12/12,563 RV,4.1,31,40,Black +9
