Poll,Date,Sample,MoE,Romney (R),Wilson (D),Spread
UtahPolicy/Dan Jones*UtahPolicy*,2/9 - 2/16,609 RV,4.0,60,14,Romney +46
UtahPolicy/Dan JonesUtahPolicy,8/30 - 9/5,608 RV,4.0,64,26,Romney +38
