Poll,Date,Sample,MoE,Bredesen (D),Blackburn (R),Spread
RCP Average,4/17 - 7/14,--,--,44.5,40.0,Bredesen +4.5
EmersonEmerson,7/11 - 7/14,657 RV,4.1,43,37,Bredesen +6
Mason-DixonMason-Dixon,4/17 - 4/19,625 RV,4.0,46,43,Bredesen +3
Middle Tn. State Univ.Middle Tn. State Univ.,3/22 - 3/29,600 RV,4.0,45,35,Bredesen +10
GravisGravis,12/11 - 12/12,563 RV,4.1,42,40,Bredesen +2
